"borough","time","ward01","ward11","ward","p.inc.supp01","nonwhite11","all.dwell01","low.dwell01","med.dwell01","hig.dwell01","med.income01","avg.income01","unemp01","youth.unemp01","price01","sales01","dens01","crime01","crime02","crime03","crime04","crime05","crime06","viol01","viol05","white01","black01","asian01","hholds01","council01","private01","block01","over.council01","over.private01","ownbath01","noheat01","hholds11","council11","private11","white.council01","asian.council01","black.council01","p.white.council01","p.asian.council01","p.black.council01","p.nonwhite.council01","votes.con06","votes.lab06","votes.ld06","total06","turnout06","votes.lab02","votes.ld02","votes.con02","turnout02","total02","votes.con10","votes.lab10","votes.ld10","total10","turnout10","lcrime01","lviol01","perc.lab10","perc.lab06","perc.lab02","dcouncil","rcouncil","cand_vote_order06","allvote06","lab06","pc_lab06","con06","pc_con06","ld06","pc_ld06","gr06","pc_gr06","res06","pc_res06","bnp06","pc_bnp06","ukip06","pc_ukip06","elected06","seats06","labseats06","pc_labseats06","ldseats06","pc_ldseats06","conseats06","pc_conseats06","grseats06","pc_grseats06","resseats06","pc_resseats06","bnpseats06","pc_bnpseats06","ukipseats06","pc_ukipseats06","num_cand06","log_medincome01","log_avgincome01","log_sales01","log_price01","log_hholds01","log_hholds11","log_dens01","lab.borough02","lab.borough06","pc_ld02","pc_con02","pc_lab02","avg.crime"
"Harrow","8","00AQGF","E05000292","Headstone North",2.98969072164948,0.526206281581294,3586,1.868377022,72.19743447,25.93418851,32190,40890,3.319079617,3.294573643,220000,153,2939.393939,49.84038719,52.95566502,46.17266334,49.44834504,46.5556774,41.73739391,7.9291525075,6.87867610406852,0.65490443184205,0.0330812854442344,0.257508926696072,3487,1.46257527960998,7.1694866647548,48,0.344135359908231,1.69199885288213,100,5.55555555555556,3570,1.5406162464986,13.3053221288515,43,9,3,29.4001960784314,6.15352941176471,2.05117647058824,70.5998039215686,5778,1947,2144,9869,45.6636700158646,2440,NA,5160,38.103611524415,7854,6453,4496,1123,14940,72.56,3.90882564310873,2.07054615824579,0.300937081659973,0.197284425980342,0.310669722434428,0.0780409668886195,5.33585983412973,1,3438,719,0.260602275294925,1938,0.56369984,781,0.22716695,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,9,10.379411,10.618641,5.0304379,12.301383,8.1567974,8.1803207,7.9859586,0,0,NA,0.60082304526749,0.312071330589849,47.373948942
"Harrow","9","00AQGG","E05000293","Headstone South",4.84375,0.565424337674001,3803,1.814357087,90.74414936,7.441493558,29310,36690,4.276704769,4.724409449,152612.5,198,6400,51.89767247,58.89038124,59.44410631,56.55349388,49.64607777,49.34715822,6.81484587989899,7.36933966898437,0.591074097800555,0.0664104206705104,0.287315823190263,3596,4.14349276974416,14.265850945495,71.0526315789474,0.75083426028921,4.08787541713015,100,5.92105263157895,4024,4.3986083499006,25.0994035785288,120,13,3,28.9610738255034,3.13744966442953,0.724026845637584,71.0389261744967,2681,3491,3114,9717,46.6524121341708,3680,NA,2158,31.2008674437517,6256,4535,6017,4156,15096,67.42,3.94927394273076,1.91910345005771,0.398582405935347,0.359267263558712,0.588235294117647,0.255115580156437,6.1570176257889,1,3675,1249,0.431631487389163,928,0.25251701,1067,0.29034013,431,0.11727891,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10.285684,10.51026,5.2882671,11.935658,8.1875772,8.3000317,8.7640533,0,0,NA,0.305008210180624,0.523399014778325,54.776243484
"Harrow","10","00AQGH","E05000294","Kenton East",7.51243781094527,0.734243131621476,3394,0.530347672,98.17324691,1.296405421,24250,29800,5.616786774,3.860160233,164000,131,7730.769231,56.38836494,62.35861119,54.67080987,51.48176292,44.57164305,54.18028958,8.23984910214789,10.32185418,0.356189320388349,0.0679611650485437,0.536407766990291,3385,11.2259970457903,8.53766617429837,32.3759791122715,1.3589364844904,2.68833087149188,100,1.57894736842105,3473,11.0855168442269,21.134465879643,283,51,29,25.2093421052632,4.54302631578947,2.58328947368421,74.7906578947368,3306,4533,939,8896,41.36024685009,3866,NA,2514,32.1970205341565,6380,5782,7350,1002,14134,64.07,4.03226284183212,2.10898203090757,0.520022640441489,0.509554856115108,0.605956112852665,-0.140480201563358,-1.25138284813676,1,3343,1623,0.540211580240107,1231,0.36823213,371,0.11097816,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10.096172,10.302263,4.8751974,12.007622,8.1271095,8.1527739,8.9529638,0,0,NA,0.405068919519787,0.594931080480213,53.452623322
"Harrow","11","00AQGJ","E05000295","Kenton West",4.92822966507177,0.725946478116889,3448,0.638051044,90.16821346,9.164733179,28890,36080,4.311838306,4.312267658,185500,123,5805.555556,70.89623543,63.35486322,64.83485462,65.39207537,54.20252701,52.95893167,11.5612459393935,9.61362387846284,0.4069280918556,0.0670429113554539,0.480003892186436,3369,1.8699910952805,8.40011872959335,12.9032258064516,0.653012763431285,2.64173345206293,100,13.8461538461538,3400,1.61764705882353,16,49,6,3,26.2033333333333,3.20857142857143,1.60428571428571,73.7966666666667,4546,4132,1404,10082,44.1888916075361,3347,NA,3290,30.9061080262494,6637,7183,7014,1212,15409,66.14,4.26121733523135,2.44765863766071,0.455188526185995,0.409839317595715,0.504294108784089,-0.252344036456969,-13.4943977591036,1,3526,1449,0.454591017466902,1592,0.45150313,485,0.13754964,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,9,10.271251,10.493494,4.8121843,12.13081,8.1223717,8.1315308,8.6665707,0,0,NA,0.501765225066196,0.498234774933804,60.148650378
"Harrow","12","00AQGK","E05000296","Marlborough",7.3936170212766,0.629415123582674,4020,8.084577114,87.23880597,4.676616915,25160,30990,4.369332234,4.573438874,129000,259,5875,128.8291173,107.3135259,98.97198146,99.31208216,87.41061347,85.37483883,27.0039491937862,23.9932254411733,0.56066036711198,0.0892798957315086,0.294341262083198,3641,4.36693216149409,15.0233452348256,80,1.0711343037627,4.44932710793738,100,3.7037037037037,4308,3.89972144846797,30.849582172702,117,24,19,26.7922641509434,5.49584905660377,4.35088050314465,73.2077358490566,2533,3399,1875,7807,37.5447434707676,3628,NA,1833,27.4956217162872,5461,4258,7223,3013,14494,61.82,4.85848685411498,3.29598312174496,0.498344142403753,0.435378506468554,0.664347189159495,-0.467210713026128,-10.6988314850826,1,2724,1186,0.549362108398211,895,0.32856095,643,0.23604992,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,10.133011,10.34142,5.556828,11.767568,8.2000141,8.3682289,8.6784611,0,0,NA,0.336664913203577,0.663335086796423,95.676608364
"Harrow","13","00AQGL","E05000297","Pinner",5.17948717948718,0.380311190903651,4159,3.390238038,52.82519836,43.7845636,29570,37050,4.15239726,6.602768903,185000,232,2954.545455,90.87187884,118.0435005,104.5897644,77.83113245,61.82795699,73.88916625,10.6426524767568,8.46276383921095,0.782626809707322,0.0317675242162275,0.14321424851578,4060,11.3793103448276,8.8423645320197,65.3276955602537,3.02955665024631,1.6256157635468,100,3.17796610169492,4117,10.6631042020889,14.816614039349,350,55,39,30.7575757575758,4.83333333333333,3.42727272727273,69.2424242424242,6240,1446,1386,9072,42.0741324921136,1697,NA,5122,31.904510683197,6819,8836,3256,2411,14503,68.36,4.50945058962424,2.36486974577345,0.224505274770737,0.159391534391534,0.248863469716967,-0.716206142738688,-6.2939327695218,1,3151,509,0.206201285563258,2117,0.6718502,525,0.16661377,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,9,10.294516,10.520023,5.4467373,12.128111,8.308938,8.3228798,7.9911003,0,0,NA,0.749133448873484,0.250866551126516,87.236304118
"Harrow","14","00AQGM","E05000298","Pinner South",2.88659793814433,0.405532609739698,3742,1.549973276,58.87226082,39.5777659,33190,42390,2.961418144,2.848101266,229950,223,4041.666667,42.01767002,51.46533238,45.81774047,49.4292804,48.79488441,45.10169991,5.34209985584352,6.00098376816532,0.773521716378859,0.0185243328100471,0.164311878597593,3755,5.43275632490013,5.1930758988016,76.1421319796954,0.932090545938748,0.772303595206391,100,2.94117647058824,3928,4.73523421588595,10.5397148676171,161,23,18,29.6350490196078,4.23357843137255,3.31323529411765,70.3649509803922,6180,1737,1831,9748,44.4729747079214,2510,NA,5312,36.1940298507463,7822,9203,4618,1527,15348,72.81,3.73809024456963,1.67561880710826,0.300886108939275,0.178190398030365,0.320889798005625,-0.697522109014185,-12.8391937222954,1,3505,609,0.252435141954596,2226,0.63509274,670,0.19115549,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,9,10.410004,10.654668,5.4071717,12.345617,8.2308435,8.2758856,8.3044128,0,0,NA,0.668881506090808,0.331118493909192,48.121787514
"Harrow","15","00AQGN","E05000299","Queensbury",5.90243902439024,0.749833110814419,3610,1.966759003,95.92797784,2.105263158,25580,31540,4.766775777,3.849175177,160000,199,6406.25,67.46729154,83.30126972,83.19169027,79.53710507,66.49224107,57.96195409,10.154266744081,8.21003247947083,0.365589259075087,0.0658378915962208,0.519244157135753,3409,2.49339982399531,10.384276914051,66.2650602409639,0.792021120563215,3.75476679378117,100,0,3635,2.25584594222834,25.5845942228336,52,17,15,20.8550588235294,6.818,6.01588235294118,79.1449411764706,3641,3980,1139,8760,39.3257029111719,2978,NA,2652,28.198127925117,5630,6277,7318,1156,14751,63.677494199536,4.21164291065883,2.31789398603253,0.496101959189208,0.454337899543379,0.528952042628774,-0.237553881766971,-9.52730803463064,1,3097,1371,0.487008693311756,1295,0.41814658,431,0.13916694,0,0,0,0,0,0,0,0,1,3,2,0.66666669,0,0,1,0.33333334,0,0,0,0,0,0,0,0,9,10.149566,10.359012,5.2933049,11.982929,8.1341743,8.1983643,8.765029,0,0,NA,0.468669083376489,0.531330916623511,74.096852044
"Harrow","16","00AQGP","E05000300","Rayners Lane",3.31707317073171,0.654800431499461,3658,3.936577365,88.7643521,7.29907053,29230,36570,3.898861224,4.030874786,166800,176,6833.333333,59.86328125,67.93952316,57.5098246,54.00582324,43.12668464,52.46570263,7.8125,6.59912631344828,0.54323570432357,0.0524008766686591,0.341701534170153,3630,1.48760330578512,11.129476584022,64.2857142857143,0.165289256198347,3.27823691460055,95.0819672131148,4.91803278688525,3668,1.00872410032715,22.0010905125409,41,12,3,27.5611111111111,8.06666666666667,2.01666666666667,72.4388888888889,3909,2775,3423,10497,47.9100089479739,3261,NA,3548,35.8950452850293,7562,5049,4969,5404,16380,69.49,4.09206331632485,2.05572501506252,0.303357753357753,0.264361246070306,0.431235122983338,-0.47887920545797,-32.1913243668969,1,4069,965,0.332809676073095,1395,0.34283608,1319,0.32415828,300,0.073728189,0,0,0,0,0,0,1,3,0,0,1,0.33333334,2,0.66666669,0,0,0,0,0,0,0,0,11,10.28295,10.506984,5.1704841,12.02455,8.1969881,8.2074022,8.8295679,0,0,NA,0.466174183514775,0.42846034214619,55.009511654
"Harrow","17","00AQGQ","E05000301","Roxbourne",9.10313901345291,0.663002806361085,4102,9.068746953,90.07801073,0.853242321,23160,28410,6.828409313,6.197398623,139500,206,7433.333333,90.18305815,96.70563231,83.59456635,79.82694265,76.21035058,72.58131259,14.5369705674627,17.4457429038554,0.519320361742943,0.114825979720471,0.295788800584635,4163,19.865481623829,9.41628633197214,68.4848484848485,5.21258707662743,4.2036992553447,99.6376811594203,7.0048309178744,4512,10.7269503546099,23.6923758865248,522,140,133,26.2767351874244,7.04740024183797,6.69503022974607,73.7232648125756,2162,3767,1611,7540,36.5897901010625,3359,NA,1690,25.2997601918465,5049,4293,7983,2712,14988,61.04,4.50184158403915,2.67669509877836,0.532626100880705,0.499602122015915,0.665280253515548,-9.13853126921904,-46.0020624833844,1,2693,1317,0.579565575042735,798,0.29632381,578,0.21463053,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,10.050182,10.254497,5.3278761,11.845819,8.3339911,8.4144955,8.9137297,0,0,NA,0.32991452991453,0.67008547008547,81.783760896
"Harrow","18","00AQGR","E05000302","Roxeth",5.58139534883721,0.662522507073652,3745,1.655540721,97.9706275,0.373831776,26000,32100,5.170119749,5.078125,156000,211,6718.75,81.57184095,86.59889094,95.24680073,76.75772503,71.44123382,76.19552727,11.8260545669521,15.0682503094293,0.512526096033403,0.0962231922565952,0.319225659517935,3831,4.0198381623597,11.433046202036,42.5675675675676,0.887496737144349,4.25476376925085,100,10.2564102564103,3791,4.51068319704564,22.5006594566078,109,18,23,27.1155194805195,4.47779220779221,5.72162337662338,72.8844805194805,3128,4170,1266,8886,41.5363092967061,3341,NA,NA,28.9033457249071,5766,4480,7547,2788,14815,65,4.40148411601699,2.47030511153919,0.509416132298346,0.469277515192438,0.579431148109608,0.490845034685938,12.2105670641677,1,3292,1471,0.51449446590976,1063,0.32290402,436,0.13244228,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10.165852,10.376612,5.3518581,11.957611,8.2508812,8.2403851,8.8126574,0,0,NA,NA,0.582148111819519,81.248035558
"Harrow","19","00AQGS","E05000303","Stanmore Park",5.68421052631579,0.432540742719744,4040,6.113861386,55.84158416,38.04455446,29930,37570,4.062072113,4.456521739,214500,180,2111.111111,78.94736842,83.49735833,75.38352128,69.89141165,79.82175724,62.7454737,10.10526315776,10.6558171072816,0.747831673626727,0.0389763357961238,0.17517935539137,3877,10.4204281661078,7.37683776115553,45.4545454545455,2.32138251225174,1.83131287077637,97.5247524752475,1.23762376237624,4354,10.4960955443271,16.9039963252182,332,30,24,31.860495049505,2.8789603960396,2.30316831683168,68.1395049504951,7027,1476,833,9336,39.0766694146744,1321,NA,5373,31.9030591974573,6694,10056,3446,1630,15594,65.82,4.36878140791053,2.31305639284801,0.220982429139413,0.158097686375321,0.197340902300568,0.0756673782192401,0.726144617217806,1,3178,508,0.188337316079792,2371,0.74606669,299,0.09408433,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,9,10.306617,10.533961,5.1929569,12.276065,8.2628174,8.37885,7.6549697,0,0,NA,0.783174327840416,0.216825672159584,74.26790444
